capability,current_state,competitive_context,verdict,priority,next_move
Role discovery,"604 roles were loaded in the inspected live snapshot; breadth is already ample, but recent runs and inventory counts disagree","LinkedIn, Indeed, Jobright, Simplify, Teal, and aggregators exceed or match breadth and distribution","Do not compete on inventory volume",P1,"Optimize for 3-5 decision-worthy roles per week and make run accounting truthful"
Official-source capture,"Official/ATS links, verification, suppression, identities, and safe-apply artifacts are substantive; source labels still collapse different evidence states","Most trackers capture a URL, while job agents own breadth; fewer publicly expose immutable source provenance","Promising wedge, not yet accepted end to end",P0,"Adopt one source-state ladder and one versioned search receipt"
Full-posting evidence,"405 roles showed full postings, and materials block incomplete sources; code uses multiple thresholds for what full means","Competitors often store descriptions, but public evidence of immutable full-posting snapshots and change lineage is limited","Differentiated only if definitions and change invalidation are exact",P0,"Define one material-ready contract with timestamp, hash, parsed sections, freshness, and semantic diff"
Identity and change detection,"Aliases, conflict handling, suppression, duplicate, unchanged, and changed states show strong intent","General trackers and job boards have large identity graphs but rarely make candidate-visible provenance central","Technically strong but operational proof is incomplete",P0,"Prove reconciliation and restore across reload and future refresh"
Opportunity scoring,"Compensation, location, scope, company, and upside are separated from qualification","Jobright, LinkedIn, Levels.fyi, executive networks, and human advisors already provide pieces of opportunity intelligence","Useful but labels currently overstate precision",P0,"Expose score version, confidence, factors, and separate pursuit recommendation"
Qualification and gap scoring,"Requirement-level evidence exists, but the browser can synthesize exact fallback values and reuse one score across dimensions","Teal, Jobscan, Huntr, Careerflow, and many resume tools provide matching and gaps","Currently less trustworthy than the strongest commodity match tools",P0,"Remove browser fallback; show not scored and requirement-level evidence confidence"
Compensation and relocation,"Base versus package/OTE, equity, geography, missing pay, and relocation tradeoffs are modeled explicitly","Market products offer salary filters and benchmarks; few candidate tools publicly combine compensation confidence and relocation decision logic","Real executive differentiation if calibrated and explainable",P1,"Show source/confidence/range logic and validate decisions with paid users"
Career Canon,"40 facts and three lanes feed scoring and writing, but the UI is a flat list and direct-route hydration omits lanes","Generic AI projects, Notion, and resume master profiles can approximate a knowledge base; few career products publicly govern claim variants and uses","Potential core moat, current UX does not earn it",P0,"Use explicit approved allowlist, fix hydration, and ship evidence cards with source excerpts and usage lineage"
ATS resume,"Evidence-safe generation and parser review exist; the audited OpenAI v6 resume was factual but scored 73/100 and was a cold-apply no-go","Jobscan, Rezi, Teal, Resume Worded, Careerflow, and many low-cost tools are mature here","Commoditized unless claim lineage and channel strategy are exceptional",P0,"Separate factual integrity from role coverage and cold-application readiness"
Executive resume and narrative,"Distinct resume concepts exist, but current proof does not show consistent executive-level narrative superiority","Korn Ferry, outplacement firms, executive coaches, and specialist writers can exceed generic AI editorial judgment","Unproven commercial quality",P1,"Run blinded advisor comparisons by channel and role family"
Pursuit strategy,"The product can recommend next actions, but writing still precedes an explicit channel decision in the default mental model","Human coaches and executive networks are stronger at deciding recruiter, warm intro, cold ATS, search firm, or pass","Missing orchestration layer",P0,"Choose pursuit channel before generation and treat do-not-cold-apply as a successful outcome"
Outreach and networking,"Role-scoped outreach assets exist and no automatic send is allowed","LinkedIn, Teal, Simplify, WonsultingAI, CRM products, and coaches cover outreach well","Table stakes; trust boundary is more valuable than output volume",P1,"Generate only channel-relevant outreach and preserve manual employer action"
Feedback learning,"Revisions and reusable guidance exist, but rule promotion needs scope, provenance, conflict handling, and review dates","General AI projects and writing products can retain preferences cheaply","Not a moat without governed learning",P1,"Make every promoted rule explicit, scoped, reversible, and attributable"
Version comparison,"Versions exist, but comparison is full side-by-side text and numbering/persistence are client-calculated","Teal, Huntr, document tools, and general versioning products cover basic history","Below the standard needed for high-stakes approvals",P1,"Use server-allocated immutable versions and semantic claim/evidence diffs"
Approval and export,"Manual approvals and approved exports exist; approvals do not yet prove an exact signed source/Canon/content snapshot","Jobscan and several automation tools now provide approval-first steps","Strong brand boundary, incomplete technical guarantee",P0,"Sign posting, brief, Canon, content, model, and review hashes and invalidate stale approvals"
Application tracking,"One honest live record exists, but only eight rows load and legitimate statuses can disappear from both columns","Teal, Huntr, Simplify, Careerflow, and general CRMs are substantially more mature","P0 product defect, not differentiation",P0,"Centralize stages, paginate with totals, render every record exactly once, and add a pursuit timeline"
Interview preparation,"Preparation assets exist but the current system is not a specialist interview practice platform","Final Round AI, Big Interview, Huru, interviewing.io, Exponent, and coaches exceed it in practice depth","Partial adjacency",P2,"Focus on evidence-grounded executive stories and decision questions, not generic mock-interview breadth"
Decision support,"Role briefs, economics, gaps, next actions, and controlled materials form a coherent decision system; hidden rank weights and conflicting labels weaken it","No public reviewed product evidenced the identical integrated stack, but human advisors and DIY AI stacks can substitute","Best commercial wedge if trust semantics become exceptional",P0,"Rename Best to Curated review order and make every recommendation explainable"
Workflow reliability,"Deterministic checks pass, but the July audit records duplicate paid Writer calls and no accepted end-to-end role kit","Enterprise workflow products provide stronger idempotency, tenancy, and audit guarantees","Commercial blocker",P0,"Implement atomic server-side claims, bounded retries, unique outputs/approvals, and concurrency acceptance tests"
Privacy and candidate control,"Single-user access and no automatic employer actions are good; tenant isolation, export, deletion, and provider governance are not commercially proven","Executive outplacement and enterprise vendors sell trust, contracts, controls, and support","No-go for external candidate data",P0,"Prove real second-account denial, row isolation, portable export, deletion, retention, and provider registry"
Commercial model,"The integrated product is credible as founder-led decision infrastructure, not yet as self-serve SaaS","Commodity career AI anchors price low; coaches and outplacement anchor high-touch value high","Start as a tightly bounded tech-enabled service",P1,"After P0 gates, test one 12-week concierge Search Pass with at most five users and record all human/model cost"
