id,priority,workstream,horizon,recommendation,why_now,acceptance_gate
TRU-01,P0,Truth and acceptance,24 hours,"Create one commit/deploy-bound acceptance ledger with implemented, locally tested, deployed, and production-accepted states","The June live matrix, July 14 audit, current working tree, and live UI disagree","Every critical row names commit, environment, timestamp, test, screenshot, and owner"
TRU-02,P0,Truth and acceptance,24 hours,"Freeze and record current HEAD, dirty diff, deployed asset hash, Edge Function versions, database migrations, and screenshots","Current uncommitted work may be mistaken for deployed proof","One immutable baseline packet exists before any launch decision"
TRU-03,P0,Truth and acceptance,24 hours,"Treat the 24-hour outcome as go/no-go evidence, not a broad commercial launch","The newest audit still has 4 failed and 15 partial items","No external candidate data or login is accepted while a P0 is open"
WF-01,P0,Workflow reliability,24 hours,"Prove atomic server-side step claiming and idempotency under concurrent advance requests","A real run produced duplicate paid Writer calls","Twenty concurrent or retried calls yield one billable step, one output, and one approval"
WF-02,P0,Workflow reliability,24 hours,"Attach every workflow state to one canonical job, posting hash, Canon revision, and run version","Stale or ambiguous runs can be advanced without enough visible context","All model and approval records resolve to one current evidence snapshot"
WF-03,P1,Workflow reliability,30 days,"Use explicit state machines for search, materials, applications, approvals, and exports","Status strings currently double as behavior and presentation","Invalid transitions are rejected server-side and covered by transition tests"
APP-01,P0,Applications,24 hours,"Adopt one canonical application-stage enum and render every loaded record exactly once","Interviewing, follow-up, on-hold, and closed rows can disappear from both current columns","Rendered plus deliberately archived equals total loaded for every fixture"
APP-02,P0,Applications,24 hours,"Remove the silent eight-row ceiling or expose server pagination and total counts","Current counts can represent only a truncated client window","UI says loaded X of Y and active stages are complete"
APP-03,P0,Applications,24 hours,"Map legacy statuses explicitly and never show a dropdown value that differs from stored state","Unknown values can visually fall back to Applied","Every persisted status renders truthfully or as Legacy status - review"
APP-04,P1,Applications,30 days,"Replace the two-column cleanup view with a role-linked pursuit timeline","Executives need channel, contacts, interviews, follow-up, and decision history","Timeline preserves channel, submitted artifact version, dates, contacts, rounds, outcome, and next action"
APP-05,P1,Applications,60 days,"Add due dates, reminders, outcome reasons, and stage-duration analytics","The current record stores notes but does not drive disciplined follow-through","Every active pursuit has owner, due action, last touch, and truthful waiting state"
RANK-01,P0,Scoring and ranking,24 hours,"Rename Best to Curated review order and expose the three dominant ranking factors","Hidden review-tier weights dwarf visible opportunity scores","A user can explain why rank 1 sits above rank 2 without reading code"
