product_company,primary_url,supporting_urls,accessed,evidence_confidence
Teal / Teal Labs,https://www.tealhq.com/,https://www.tealhq.com/pricing; https://help.tealhq.com/en/articles/14435724-how-to-build-your-resume-in-teal; https://www.tealhq.com/privacy-policy,2026-07-14,H
Huntr / Huntr Co.,https://huntr.co/,https://huntr.co/pricing; https://huntr.co/product/job-tracker; https://huntr.co/privacy,2026-07-14,H
Simplify / Simplify Jobs,https://simplify.jobs/,https://help.simplify.jobs/en/help/articles/5623502-whats-included-in-simplify-features-and-pricing; https://help.simplify.jobs/en/articles/8040103-building-and-tailoring-your-resume-on-simplify; https://simplify.jobs/privacy,2026-07-14,M
Careerflow / Careerflow.ai,https://www.careerflow.ai/,https://www.careerflow.ai/premium; https://www.careerflow.ai/faq; https://www.careerflow.ai/privacy,2026-07-14,H
Jobscan / Jobscan,https://www.jobscan.co/,https://www.jobscan.co/auto-apply; https://www.jobscan.co/blog/jobscan-vs-teal/; https://www.jobscan.co/gdpr,2026-07-14,H
"Rezi / Rezi, Inc.",https://www.rezi.ai/,https://www.rezi.ai/rezi-docs/rezi-subscription-plans-explained; https://www.rezi.ai/ai-resume-builder/; https://www.rezi.ai/legal,2026-07-14,H
Resume Worded / Resume Worded,https://resumeworded.com/,https://resumeworded.com/get-pro; https://resumeworded.com/business-plans-checkout; https://resumeworded.com/privacy,2026-07-14,H
Kickresume / Kickresume,https://www.kickresume.com/,https://www.kickresume.com/en/pricing/; https://www.kickresume.com/en/ai-resume-writer/; https://www.kickresume.com/privacy/?embedded=1,2026-07-14,H
Enhancv / Enhancv,https://enhancv.com/,https://enhancv.com/pricingb.html; https://enhancv.com/ai-resume-builder/; https://enhancv.com/privacy/,2026-07-14,H
Resume.io / Career.io / Talent Inc.,https://resume.io/,https://resume.io/pricing; https://help.resume.io/en/articles/3786112; https://resume.io/privacy,2026-07-14,M
Hiration / Hiration,https://www.hiration.com/,https://www.hiration.com/app/pricing; https://www.hiration.com/; https://www.hiration.com/privacy/,2026-07-14,H
Zety / Bold Limited,https://zety.com/,https://zety.com/pricing; https://zety.com/privacy-policy; https://zety.com/terms-of-service,2026-07-14,H
SkillSyncer / SkillSyncer,https://skillsyncer.com/,https://skillsyncer.com/pricing; https://skillsyncer.com/privacy,2026-07-14,M
Resume Genius / Sonaga Tech,https://resumegenius.com/,https://resumegenius.com/pricing; https://resumegenius.com/privacy-policy,2026-07-14,H
EarnBetter / EarnBetter (EarnIn),https://earnbetter.com/,https://earnbetter.com/; https://earnbetter.com/custom-docs/; https://earnbetter.com/privacy/; https://earnbetter.com/tos/,2026-07-14,M
WonsultingAI / Wonsulting,https://www.wonsulting.com/wonsultingai,https://www.wonsulting.com/pricing; https://www.wonsulting.com/privacy-policy,2026-07-14,H
Jobright / Jobright AI,https://jobright.ai/,https://jobright.ai/; https://jobright.ai/jobs/search; https://jobright.ai/legal/privacy,2026-07-14,M
Sonara / Bold Limited,https://www.sonara.ai/,https://www.sonara.ai/,2026-07-14,L
LoopCV / LoopCV,https://www.loopcv.pro/,https://www.loopcv.pro/pricing/index.html; https://blog.loopcv.pro/how-loopcv-works/; https://www.loopcv.pro/en/privacy/,2026-07-14,M
LazyApply / LazyApply,https://lazyapply.com/,https://lazyapply.com/; https://lazyapply.com/privacy,2026-07-14,M
Massive / Massive,https://usemassive.com/,https://usemassive.com/; https://usemassive.com/privacy,2026-07-14,H
scale.jobs / scale.jobs,https://scale.jobs/,https://scale.jobs/pricing; https://scale.jobs/privacy,2026-07-14,H
Apply Hero / Apply Hero,https://www.applyhero.ai/,https://www.applyhero.ai/; https://www.applyhero.ai/privacy,2026-07-14,H
JobCopilot / JobCopilot,https://jobcopilot.com/,https://jobcopilot.com/pricing/; https://jobcopilot.com/privacy-policy,2026-07-14,H
AIApply / AIApply,https://aiapply.co/,https://aiapply.co/; https://aiapply.co/privacy-policy,2026-07-14,H
LinkedIn Premium Career / LinkedIn,https://premium.linkedin.com/careers/career,https://www.linkedin.com/help/linkedin/answer/a7474394; https://www.linkedin.com/help/linkedin/answer/a1728404; https://www.linkedin.com/legal/privacy-policy; https://www.linkedin.com/legal/user-agreement,2026-07-14,H
Indeed Career Scout and Apply For Me / Indeed,https://www.indeed.com/careerscout,https://www.indeed.com/career-advice/finding-a-job/what-is-indeed-career-scout; https://www.indeed.com/news/releases/indeed-tests-apply-for-me-job-search; https://www.indeed.com/legal?hl=en_US; https://www.indeed.com/legal/privacyfaq,2026-07-14,H
Glassdoor / Glassdoor,https://www.glassdoor.com/about/,https://www.glassdoor.com/about/onelogin/; https://www.glassdoor.com/about/trust/; https://www.glassdoor.com/about/doNotSell.htm/,2026-07-14,M
Welcome to the Jungle / Otta,https://www.welcometothejungle.com/en/jobs,https://us.welcometothejungle.com/terms-and-conditions/candidates; https://www.welcometothejungle.com/en/pages/privacy-policy-candidates; https://press.welcometothejungle.com/news/uk-recruitment-platform-otta-acquired-by-welcome-to-the-jungle,2026-07-14,H
Wellfound / Wellfound,https://wellfound.com/,https://help.wellfound.com/article/799-does-angellist-cost-anything-for-job-seekers; https://wellfound.com/recruit/pricing; https://wellfound.com/privacy,2026-07-14,H
Levels.fyi / Levels.fyi,https://www.levels.fyi/,https://www.levels.fyi/services/; https://www.levels.fyi/about/; https://www.levels.fyi/about/terms.html; https://www.levels.fyi/about/privacy.html,2026-07-14,H
Final Round AI / Final Round AI,https://www.finalroundai.com/,https://www.finalroundai.com/blog/what-is-final-round-ai; https://www.finalroundai.com/frequently-asked-questions; https://www.finalroundai.com/privacy-policy,2026-07-14,M
Huru / Huru,https://huru.ai/,https://huru.ai/practice-interviews-alone-solo-improvement/; https://appv2.huru.ai/privacy-policy/,2026-07-14,L
Big Interview / Skillful Communications,https://www.biginterview.com/,https://www.biginterview.com/pricing/personal; https://www.biginterview.com/privacy-policy,2026-07-14,H
interviewing.io / interviewing.io,https://interviewing.io/,https://interviewing.io/faq; https://interviewing.io/privacy; https://interviewing.io/terms,2026-07-14,H
Exponent / Exponent,https://www.tryexponent.com/,https://www.tryexponent.com/upgrade; https://www.tryexponent.com/privacy,2026-07-14,H
Yoodli / Yoodli,https://yoodli.ai/,https://yoodli.ai/pricing; https://support.yoodli.ai/en/articles/9550461-yoodli-overview; https://yoodli.ai/faq,2026-07-14,H
Google Interview Warmup / Google,https://grow.google/certificates/interview-warmup/,https://grow.google/certificates/interview-warmup/,2026-07-14,H
Notion / Notion Labs,https://www.notion.com/pricing,https://www.notion.com/help/ai-safety; https://www.notion.com/pricing,2026-07-14,H
Airtable / Airtable,https://airtable.com/pricing,https://www.airtable.com/company/ai-terms; https://support.airtable.com/docs/airtable-ai-billing; https://www.airtable.com/company/trust-and-security,2026-07-14,H
Mesh (formerly Clay) / Clay,https://clay.earth/,https://clay.earth/pricing; https://library.clay.earth/hc/en-us/articles/7485741581339-Security-and-Privacy,2026-07-14,H
Dex / Dex,https://getdex.com/,https://getdex.com/security/; https://getdex.com/privacypolicy/; https://getdex.com/integrations/mcp-server/,2026-07-14,M
folk / folk,https://www.folk.app/pricing,https://www.folk.app/privacy-policy; https://help.folk.app/en/articles/5007534-security-privacy,2026-07-14,H
Attio / Attio,https://attio.com/pricing,https://attio.com/help/reference/attio-ai/attio-ai-policy; https://attio.com/legal/privacy,2026-07-14,H
SeekOut / SeekOut,https://www.seekout.com/pricing/,https://www.seekout.com/privacy/; https://www.seekout.com/security/; https://www.seekout.com/responsible-ai/,2026-07-14,H
Eightfold AI / Eightfold,https://eightfold.ai/products/,https://eightfold.ai/privacy-notice/; https://eightfold.ai/blog/responsible-ai-data-underneath-decision/; https://eightfold.ai/products/ai-interviewer/,2026-07-14,H
Phenom / Phenom,https://www.phenom.com/intelligent-talent-experience-platform,https://www.phenom.com/pricing; https://www.phenom.com/ai-ethics,2026-07-14,H
Beamery / Beamery,https://beamery.com/platform/talent-intelligence/,https://beamery.com/security; https://beamery.com/privacy-policy,2026-07-14,H
Gloat / Gloat,https://gloat.com/platform/,https://gloat.com/users-privacy/; https://gloat.com/security-and-compliance/,2026-07-14,H
Fuel50 / Fuel50,https://fuel50.com/,https://fuel50.com/pricing; https://fuel50.com/products/talent-marketplace; https://fuel50.com/privacy-and-legal,2026-07-14,H
ExecThread / ExecThread,https://execthread.com/faq/,https://execthread.com/faq-member/faq-member-getting-started/how-much-does-execthread-cost; https://execthread.com/privacy-policy; https://execthread.com/legal,2026-07-14,M
BlueSteps / AESC,https://www.aesc.org/about-bluesteps/,https://www.bluesteps.com/member-benefits; https://www.bluesteps.com/faq; https://www.aesc.org/privacy-policy/,2026-07-14,H
Ladders / TheLadders,https://www.theladders.com/upgrade,https://www.theladders.com/corporate/privacy,2026-07-14,H
Experteer / Experteer,https://us.experteer.com/docs/advantages_membership,https://eu.experteer.com/recruiting/page/products_job_postings_hr; https://us.experteer.com/recruiting/terms/privacy_policy,2026-07-14,H
Ivy Exec / Ivy Exec,https://ivyexec.com/,https://resume.ivyexec.com/ivyexec-resumewriting/; https://ivyexec.com/privacy-policy,2026-07-14,M
ExecuNet / ExecuNet,https://www.execunet.com/executive-service-options/,https://www.execunet.com/premium-join/; https://www.execunet.com/privacy-statement-us/,2026-07-14,H
Korn Ferry Advance / Korn Ferry,https://www.kfadvance.com/,https://www.kornferry.com/customer-support-faq; https://www.kornferry.com/privacy; https://www.kornferry.com/privacy/security,2026-07-14,H
