product_company,url,category,relationship,positioning_target,public_pricing,core_workflow,ai_model,privacy_posture,strengths,weaknesses,likely_moat,engine_overlap,evidence_confidence,sources
Teal / Teal Labs,https://www.tealhq.com/,Integrated career OS and tracker,Direct,Organized job-search power users; master-resume-centered workspace.,"Free; Teal+ $13/7 days, $29/30 days, $79/90 days.","Master resume and tailored views, match scoring, browser capture, job/contact/interview tracking, autofill and outreach.",Model not publicly named on reviewed pages.,"Privacy policy covers resumes, postings, notes and application data; current policy accessed.",Mature integrated workspace and readable workflow.,"Keyword/document centered; no public official-source provenance, compensation or relocation logic.","Brand, mature workflow/data model and accumulated usage patterns (analyst inference).","Very high: tracking, capture, matching, materials, contacts and interviews; Career Canon and decision controls remain gaps.",H,https://www.tealhq.com/pricing; https://help.tealhq.com/en/articles/14435724-how-to-build-your-resume-in-teal; https://www.tealhq.com/privacy-policy
Huntr / Huntr Co.,https://huntr.co/,Integrated career OS and tracker,Direct,Individuals and career-service organizations seeking a job-search CRM.,"Free; Pro $40/month, $90/3 months, $160/6 months.","Resume tailoring, application packets, browser capture, job/contact/interview CRM, metrics, autofill, cover letters and match insights.",Model not publicly named.,Says it does not sell personal data and controls employer/organization visibility through consent.,Strong workflow plus an institutional channel.,"No public evidence canon, source provenance or executive economics.","B2B distribution, CRM maturity and tracked-job research corpus (analyst inference).","Very high across tracking, documents and application management; weaker on executive decision intelligence.",H,https://huntr.co/pricing; https://huntr.co/product/job-tracker; https://huntr.co/privacy
Simplify / Simplify Jobs,https://simplify.jobs/,"Discovery, autofill and tracking",Direct,Broad and often high-volume applicants who want speed.,"Free; Simplify+ $19.99/week, $39.99/month, $89.99/3 months.","Personalized jobs, Copilot autofill, automatic tracking, AI tailoring, cover letters, application answers, outreach and job-popularity data.",Model not publicly named; AI drafts remain editable.,Public privacy policy is dated 2021 and does not adequately explain the newer AI suite.,Excellent application-surface compatibility and low-friction capture.,Thin executive judgment and stale privacy disclosure.,"Browser integrations, behavioral/application data and distribution (analyst inference).","High on discovery, materials, outreach and tracking; low on evidence canon and deliberate decisions.",M,https://help.simplify.jobs/en/help/articles/5623502-whats-included-in-simplify-features-and-pricing; https://help.simplify.jobs/en/articles/8040103-building-and-tailoring-your-resume-on-simplify; https://simplify.jobs/privacy
Careerflow / Careerflow.ai,https://www.careerflow.ai/,Broad career copilot,Direct,"Individuals, universities, bootcamps, coaches and outplacement providers.",Free; Premium $23.99/month; Premium Plus $44.99/month; lower effective quarterly/annual rates.,"Large job portal, browser capture, tracker, ATS resumes, LinkedIn, cover letters, networking and mock interview/video analysis.",Model not publicly named.,"Privacy policy covers interview media, analytics/session replay and advertising; FAQ claims encryption and no employer sharing without consent.",One of the broadest candidate suites with organizational distribution.,"Optimizes content more than provenance, executive economics or claim governance.",Suite breadth and B2B channel (analyst inference).,Very high surface overlap; limited public evidence of source-first canon or decision architecture.,H,https://www.careerflow.ai/premium; https://www.careerflow.ai/faq; https://www.careerflow.ai/privacy
Jobscan / Jobscan,https://www.jobscan.co/,ATS optimization and approval-first assisted applying,Direct,Applicants focused on ATS fit; also coaches.,Premium $49.95/month or $89.95/quarter; Auto Apply credits sold separately.,"ATS matching, resume/LinkedIn optimization, cover letters, job tools and 2026 Auto Apply that drafts grounded answers and requires review before submission.",Provider/model not disclosed on reviewed pages.,"Public privacy/GDPR material provides access, deletion and portability rights; model-use detail is limited.",ATS credibility and a notably approval-first application flow.,"No public Career Canon, claim lineage, executive compensation or relocation logic.","Long-standing ATS brand, benchmark data and coach distribution (analyst inference).","Extremely high in matching, documents and controlled application execution.",H,https://www.jobscan.co/auto-apply; https://www.jobscan.co/blog/jobscan-vs-teal/; https://www.jobscan.co/gdpr
"Rezi / Rezi, Inc.",https://www.rezi.ai/,AI resume and ATS specialist,Partial,"Applicants who want fast, ATS-oriented document production.",Free; Pro $29/month or $19/month quarterly; Lifetime $149.,"Resume Agent, imports, JD targeting, bullets, summaries, cover letters, job search, interview practice and monthly human review on Pro.",Public builder material identifies ChatGPT.,"Legal terms cover stored content, vendors, deletion and optional public URLs; users can work without an account with less storage.",Focused ATS production and human review.,Document generator rather than an opportunity evidence and decision system.,"ATS specialization, templates and user base (analyst inference).","High on resume production; low on source capture, canon, approvals and tracking.",H,https://www.rezi.ai/rezi-docs/rezi-subscription-plans-explained; https://www.rezi.ai/ai-resume-builder/; https://www.rezi.ai/legal
Resume Worded / Resume Worded,https://resumeworded.com/,Resume and LinkedIn scoring,Partial,"Applicants, coaches and resume writers seeking diagnostic feedback.","Free; Pro $49/month, $99/quarter, $229/year; coach plans from $149/month billed yearly.","Line-level review, Targeted Resume, missing keywords, LinkedIn review, AI rewrites and white-label coach exports.","OpenAI, Gemini and Anthropic are named; exact routing is not public.",Privacy says providers are contractually barred from training on user data.,"Strong feedback, recruiter-derived checks and unusually transparent multi-model posture.","No discovery, approval workflow, compensation logic or broad application OS.","Scoring corpus, reputation and B2B coach tools (analyst inference).",Meaningful overlap with multi-model critique and resume validation.,H,https://resumeworded.com/get-pro; https://resumeworded.com/business-plans-checkout; https://resumeworded.com/privacy
Kickresume / Kickresume,https://www.kickresume.com/,Resume and cover-letter builder,Partial,Mass-market international job seekers.,"Free; Premium $24 monthly, $54 quarterly, $96 yearly.","Templates, AI Writer, ATS checker, Career Map, LinkedIn/PDF import, apps and personal websites.",AI Writer identifies OpenAI GPT-4.1.,"EU controller; says it does not share data with third parties absent direction, identifies OpenAI processing and employer sharing by consent.","Strong design, mobile experience and career-map UX.","Little discovery, tracking, evidence capture or executive judgment.","Templates, international brand and distribution (analyst inference).",Documents and planning only.,H,https://www.kickresume.com/en/pricing/; https://www.kickresume.com/en/ai-resume-writer/; https://www.kickresume.com/privacy/?embedded=1
Enhancv / Enhancv,https://enhancv.com/,Resume and cover-letter builder,Partial,Design-conscious applicants who want collaboration and tailoring.,"Basic $4.99/month; Pro $19.99 monthly, $44.97 quarterly, $65.94 semiannually; locale varies.","Visual resumes, one-click JD tailoring, ATS checks, cover letters and collaborator feedback.",AI page identifies OpenAI/ChatGPT and says resume data is not used for training.,Privacy policy covers career data and service providers.,"Strong document design, feedback and fast variants.",Not a career OS; visual emphasis can distract from evidence discipline.,"Brand, design templates and acquisition funnel (analyst inference).",Resume variants and feedback only.,H,https://enhancv.com/pricingb.html; https://enhancv.com/ai-resume-builder/; https://enhancv.com/privacy/
Resume.io / Career.io / Talent Inc.,https://resume.io/,Career platform and document builder,Partial,Mass-market job seekers; broad affiliate human-service ecosystem.,"Region-specific; reviewed UK page £2.95 seven-day trial then £19.95/four weeks, or £49.95 quarterly.","Resume/cover-letter builder, AI phrases, tracker with salary/notes/attachments, jobs and interview prep; sits inside Career.io with TopResume and related services.",Model not publicly named.,"Privacy policy covers broad affiliates, advertising and data sharing.","Scale, brand, tracker and cross-sell into human services.","Commodity core, complex affiliate/data ecosystem and regional pricing.","SEO distribution, brand portfolio and service cross-sell (analyst inference).","Documents, tracking and interview preparation; weak source and canon controls.",M,https://resume.io/pricing; https://help.resume.io/en/articles/3786112; https://resume.io/privacy
Hiration / Hiration,https://www.hiration.com/,Career suite,Partial,Individuals and career centers.,"Free; $24.99 monthly, $49.99 quarterly, $99.99 yearly.","Resume builder/review, JD matcher, interview evaluation, cover letters, LinkedIn and job portal.",Model not publicly named.,"April 2026 privacy policy covers resumes, US processing, vendors, advertising, FERPA and user rights; site claims SOC 2 and encryption.","Broad suite, manual review and institutional offering.","No public source provenance, Career Canon or executive decision logic.",Career-center distribution and workflow breadth (analyst inference).,High on documents/interviews and B2B channel; low on evidence and decisions.,H,https://www.hiration.com/app/pricing; https://www.hiration.com/; https://www.hiration.com/privacy/
Zety / Bold Limited,https://zety.com/,Guided resume and cover-letter builder,Partial,Mass-market applicants needing structured completion.,Free TXT; $1.95 14-day trial then $25.95/four weeks; $71.40/year.,"Guided content, templates, checks, job matching and digital resumes.",Model not publicly specified.,"June 2026 privacy policy covers Bold affiliates, resume/behavior data and job sites; terms describe optional public resume posting.","Brand, SEO and guided completion.",Auto-renew/public-posting complexity; no evidence or decision layer.,"Traffic funnel, templates and affiliate ecosystem (analyst inference).",Documents and lightweight matching only.,H,https://zety.com/pricing; https://zety.com/privacy-policy; https://zety.com/terms-of-service
SkillSyncer / SkillSyncer,https://skillsyncer.com/,ATS matching utility,Partial,Price-sensitive applicants who want keyword-gap diagnostics.,Free; Premium $14.95/month or $11.62/month quarterly.,"Resume/JD comparison, keyword gaps, match scores, auto-optimization, bullets, history and basic tracking.",Model not publicly named.,"Privacy policy permits service-provider, affiliate, partner and advertising disclosures; FAQ promises encryption/deletion.","Focused, inexpensive and easy to understand.",Utility rather than operating system; thin privacy/model specificity.,Matching heuristics and search distribution (analyst inference).,Fit/gap and ATS optimization only.,M,https://skillsyncer.com/pricing; https://skillsyncer.com/privacy
Resume Genius / Sonaga Tech,https://resumegenius.com/,Guided resume builder and job board,Partial,Mass-market applicants.,Free TXT; $2.95 14-day trial then $23.95/four weeks; $95.40/year.,"Resumes, cover letters, checks/reviews, digital resumes and job listings.",Feature copy identifies GPT-4 for summaries.,"February 2026 privacy policy covers resume, job and usage data; training detail not found.","High traffic, strong guided creation and broad content.",Commodity output and auto-renew model; no workflow depth.,"SEO, brand and content funnel (analyst inference).",Documents only.,H,https://resumegenius.com/pricing; https://resumegenius.com/privacy-policy
EarnBetter / EarnBetter (EarnIn),https://earnbetter.com/,Free end-to-end career tool,Direct,Broad and value-sensitive job seekers.,Free.,"Millions of jobs, unlimited tailored resumes and cover letters, matching, alerts, interview prep, external-job import and an AI tracker recommending actions.",Providers unspecified; terms permit third-party AI.,"2023 privacy policy covers resumes, target compensation, analytics/advertising and employer sharing with consent.",Free integrated workflow and EarnIn distribution.,"Mass-market positioning, older privacy disclosure and unclear standalone economics.",Distribution and marketplace economics (analyst inference).,High surface overlap at a zero-dollar price anchor.,M,https://earnbetter.com/; https://earnbetter.com/custom-docs/; https://earnbetter.com/privacy/; https://earnbetter.com/tos/
WonsultingAI / Wonsulting,https://www.wonsulting.com/wonsultingai,Guided career OS,Direct,Applicants attracted to creator-led job-search guidance.,Free; Premium $19.99/month.,"Staged plan, ResumeAI, CoverLetterAI, NetworkAI, large job board, tracker, InterviewAI, contact/cold-email tools and learning.",Providers not publicly named.,Privacy policy says no sale but permits sharing extensive user data with third-party AI tools to train/refine models.,"Journey guidance, outreach tooling and a strong community/content brand.",Permissive AI-data language; no source provenance or Career Canon.,"Creator audience, community and structured playbook (analyst inference).","Very high surface overlap, with a weaker trust posture.",H,https://www.wonsulting.com/pricing; https://www.wonsulting.com/privacy-policy
Jobright / Jobright AI,https://jobright.ai/,AI job marketplace and copilot,Direct,"Broad US job seekers, including visa-sensitive and senior users.",Exact current public price unverified; vendor pages show conflicting $19.99/$29.99 monthly references.,"Large job hub, AI matching, autofill, rapid tailoring, Orion coaching, insider/referral paths, H-1B, compensation and executive filters.","June 2026 privacy policy names OpenAI, Anthropic, Google Cloud AI and AWS AI.",Policy limits normal post-account retention to six months and tightly limits Gmail use; marketplace visibility rules are explicit.,Strong discovery/opportunity intelligence and unusually detailed AI-provider disclosure.,"No public full-posting evidence, Career Canon or version/approval architecture.","Job graph, distribution and marketplace data (analyst inference).","Extremely high across discovery, fit, resumes, referrals and interviews.",M,https://jobright.ai/; https://jobright.ai/jobs/search; https://jobright.ai/legal/privacy
Sonara / Bold Limited,https://www.sonara.ai/,Autonomous application agent,Substitute,Applicants prioritizing hands-off volume.,Not publicly disclosed on reviewed pages.,Continuously finds matches and applies automatically; current site carries Bold and Monster/CareerBuilder partner branding.,Model not publicly specified.,"Public product copy does not clearly explain application-level evidence, review safeguards or current AI-data use.",Cloud convenience and distribution.,"Black-box volume, brand ambiguity and employer-action risk.",Automation infrastructure and distribution (analyst inference).,"Discovery and applications, but opposite to approval-first trust positioning.",L,https://www.sonara.ai/
