time_window,objective,actions,required_proof,decision
Hours 0-2,Freeze the truth,"Record repo HEAD and dirty diff; deployed asset hash; Edge Function versions; database migrations; live counts; screenshots; canonical acceptance source","One immutable evidence baseline tied to environment and timestamp","Continue only with explicit Matthew-only or commercial definition of go"
Hours 2-5,Reconcile acceptance,"Compare June live matrix, July 14 audit, current source, current tests, and hosted behavior; classify every failed and partial item","Every item is implemented only, locally proven, deployed, production accepted, or still open","No code-presence claim may close a production failure"
Hours 5-9,Prove three critical journeys,"Run source-complete high-fit, source-complete moderate-fit, and source-incomplete roles through posting, brief, qualification, material, approval, and export gates","Complete states advance; incomplete source remains blocked; all evidence stays role scoped","Stop if any workflow advances across an invalid gate"
Hours 9-11,Prove workflow idempotency,"Issue concurrent and retried advance requests against a controlled no-employer-action workflow","Twenty requests produce one billable step, one durable output, one canonical approval, and one cost entry","No-go if any duplicate paid step or output occurs"
Hours 11-13,Prove search accounting,"Run a bounded official-source search; reconcile seen, new, changed, unchanged, suppressed, deduped, deferred, and failed; restore one suppressed fixture and reload","Accounting identity reconciles; unknown is not zero; restore persists and future refresh behavior is correct","No-go if run state or counts remain ambiguous"
Hours 13-15,Repair trust semantics,"Expose curated rank rationale; remove client fallback scores; separate source state, opportunity, qualification, pursuit, comp, and relocation","A test user can explain rank and readiness from the screen alone","No-go if the UI still says best, strong fit, ready, or zero ambiguously"
Hours 15-17,Repair application completeness,"Centralize statuses; ensure every record renders once; add total count and pagination; preserve submitted artifact version","All fixtures and cloud rows appear in exactly one truthful stage","No-go if any persisted application can disappear or display the wrong status"
Hours 17-20,Prove channel-specific material safety,"Select cold ATS, warm intro, recruiter, executive network, interview, evidence-first, or pass before generation; audit every factual clause","Every final clause maps to admissible Canon evidence and artifact integrity is separate from pursuit recommendation","No-go if any unsupported claim can be approved or a cold no-go appears application ready"
Hours 20-22,Prove privacy boundary,"Run real second-account denial; verify row isolation; candidate export and deletion; provider and retention registry; least-privilege support access","No cross-user access; complete portable export; verifiable deletion; audit log","No third-party data if any privacy proof is missing"
Hours 22-24,Hold go or no-go review,"Publish one acceptance report with open gates, evidence links, rollback, owners, and next dates","Written state-specific decision for Matthew-only use, demos, external design partners, paid beta, and broad launch","Default is no-go for external login until every P0 is passed"
